"industry","gender","condition","age","time_code","value","unit"
"全産業","総数","完全失業者","15歳以上","1968-01",72,"万人"
"全産業","総数","完全失業者","15歳以上","1968-02",75,"万人"
"全産業","総数","完全失業者","15歳以上","1968-03",83,"万人"
"全産業","総数","完全失業者","15歳以上","1968-04",64,"万人"
"全産業","総数","完全失業者","15歳以上","1968-05",54,"万人"
"全産業","総数","完全失業者","15歳以上","1968-06",52,"万人"
"全産業","総数","完全失業者","15歳以上","1968-07",60,"万人"
"全産業","総数","完全失業者","15歳以上","1968-08",59,"万人"
"全産業","総数","完全失業者","15歳以上","1968-09",53,"万人"
"全産業","総数","完全失業者","15歳以上","1968-10",47,"万人"
"全産業","総数","完全失業者","15歳以上","1968-11",45,"万人"
"全産業","総数","完全失業者","15歳以上","1968-12",48,"万人"
"全産業","総数","完全失業者","15歳以上","1969-01",64,"万人"
"全産業","総数","完全失業者","15歳以上","1969-02",69,"万人"
"全産業","総数","完全失業者","15歳以上","1969-03",75,"万人"
"全産業","総数","完全失業者","15歳以上","1969-04",60,"万人"
"全産業","総数","完全失業者","15歳以上","1969-05",58,"万人"
"全産業","総数","完全失業者","15歳以上","1969-06",59,"万人"
"全産業","総数","完全失業者","15歳以上","1969-07",58,"万人"
"全産業","総数","完全失業者","15歳以上","1969-08",54,"万人"
"全産業","総数","完全失業者","15歳以上","1969-09",53,"万人"
"全産業","総数","完全失業者","15歳以上","1969-10",48,"万人"
"全産業","総数","完全失業者","15歳以上","1969-11",45,"万人"
"全産業","総数","完全失業者","15歳以上","1969-12",48,"万人"
"全産業","総数","完全失業者","15歳以上","1970-01",63,"万人"
"全産業","総数","完全失業者","15歳以上","1970-02",66,"万人"
"全産業","総数","完全失業者","15歳以上","1970-03",67,"万人"
"全産業","総数","完全失業者","15歳以上","1970-04",64,"万人"
"全産業","総数","完全失業者","15歳以上","1970-05",53,"万人"
"全産業","総数","完全失業者","15歳以上","1970-06",50,"万人"
"全産業","総数","完全失業者","15歳以上","1970-07",57,"万人"
"全産業","総数","完全失業者","15歳以上","1970-08",59,"万人"
"全産業","総数","完全失業者","15歳以上","1970-09",62,"万人"
"全産業","総数","完全失業者","15歳以上","1970-10",61,"万人"
"全産業","総数","完全失業者","15歳以上","1970-11",56,"万人"
"全産業","総数","完全失業者","15歳以上","1970-12",54,"万人"
"全産業","総数","完全失業者","15歳以上","1971-01",66,"万人"
"全産業","総数","完全失業者","15歳以上","1971-02",72,"万人"
"全産業","総数","完全失業者","15歳以上","1971-03",80,"万人"
"全産業","総数","完全失業者","15歳以上","1971-04",68,"万人"
"全産業","総数","完全失業者","15歳以上","1971-05",60,"万人"
"全産業","総数","完全失業者","15歳以上","1971-06",57,"万人"
"全産業","総数","完全失業者","15歳以上","1971-07",60,"万人"
"全産業","総数","完全失業者","15歳以上","1971-08",64,"万人"
"全産業","総数","完全失業者","15歳以上","1971-09",57,"万人"
"全産業","総数","完全失業者","15歳以上","1971-10",59,"万人"
"全産業","総数","完全失業者","15歳以上","1971-11",60,"万人"
"全産業","総数","完全失業者","15歳以上","1971-12",64,"万人"
"全産業","総数","完全失業者","15歳以上","1972-01",85,"万人"
"全産業","総数","完全失業者","15歳以上","1972-02",84,"万人"
"全産業","総数","完全失業者","15歳以上","1972-03",93,"万人"
"全産業","総数","完全失業者","15歳以上","1972-04",78,"万人"
"全産業","総数","完全失業者","15歳以上","1972-05",69,"万人"
"全産業","総数","完全失業者","15歳以上","1972-06",64,"万人"
"全産業","総数","完全失業者","15歳以上","1972-07",67,"万人"
"全産業","総数","完全失業者","15歳以上","1972-08",70,"万人"
"全産業","総数","完全失業者","15歳以上","1972-09",77,"万人"
"全産業","総数","完全失業者","15歳以上","1972-10",64,"万人"
"全産業","総数","完全失業者","15歳以上","1972-11",63,"万人"
"全産業","総数","完全失業者","15歳以上","1972-12",66,"万人"
"全産業","総数","完全失業者","15歳以上","1973-01",80,"万人"
"全産業","総数","完全失業者","15歳以上","1973-02",78,"万人"
"全産業","総数","完全失業者","15歳以上","1973-03",82,"万人"
"全産業","総数","完全失業者","15歳以上","1973-04",75,"万人"
"全産業","総数","完全失業者","15歳以上","1973-05",69,"万人"
"全産業","総数","完全失業者","15歳以上","1973-06",68,"万人"
"全産業","総数","完全失業者","15歳以上","1973-07",63,"万人"
"全産業","総数","完全失業者","15歳以上","1973-08",61,"万人"
"全産業","総数","完全失業者","15歳以上","1973-09",64,"万人"
"全産業","総数","完全失業者","15歳以上","1973-10",54,"万人"
"全産業","総数","完全失業者","15歳以上","1973-11",56,"万人"
"全産業","総数","完全失業者","15歳以上","1973-12",55,"万人"
"全産業","総数","完全失業者","15歳以上","1974-01",74,"万人"
"全産業","総数","完全失業者","15歳以上","1974-02",84,"万人"
"全産業","総数","完全失業者","15歳以上","1974-03",91,"万人"
"全産業","総数","完全失業者","15歳以上","1974-04",70,"万人"
"全産業","総数","完全失業者","15歳以上","1974-05",64,"万人"
"全産業","総数","完全失業者","15歳以上","1974-06",63,"万人"
"全産業","総数","完全失業者","15歳以上","1974-07",61,"万人"
"全産業","総数","完全失業者","15歳以上","1974-08",75,"万人"
"全産業","総数","完全失業者","15歳以上","1974-09",70,"万人"
"全産業","総数","完全失業者","15歳以上","1974-10",76,"万人"
"全産業","総数","完全失業者","15歳以上","1974-11",71,"万人"
"全産業","総数","完全失業者","15歳以上","1974-12",84,"万人"
"全産業","総数","完全失業者","15歳以上","1975-01",100,"万人"
"全産業","総数","完全失業者","15歳以上","1975-02",109,"万人"
"全産業","総数","完全失業者","15歳以上","1975-03",113,"万人"
"全産業","総数","完全失業者","15歳以上","1975-04",99,"万人"
"全産業","総数","完全失業者","15歳以上","1975-05",92,"万人"
"全産業","総数","完全失業者","15歳以上","1975-06",93,"万人"
"全産業","総数","完全失業者","15歳以上","1975-07",88,"万人"
"全産業","総数","完全失業者","15歳以上","1975-08",95,"万人"
