"industry","gender","condition","age","time_code","value","unit"
"全産業","総数","完全失業者","15歳以上","1968-01",1.5,"％"
"全産業","総数","完全失業者","15歳以上","1968-02",1.6,"％"
"全産業","総数","完全失業者","15歳以上","1968-03",1.7,"％"
"全産業","総数","完全失業者","15歳以上","1968-04",1.3,"％"
"全産業","総数","完全失業者","15歳以上","1968-05",1,"％"
"全産業","総数","完全失業者","15歳以上","1968-06",1,"％"
"全産業","総数","完全失業者","15歳以上","1968-07",1.2,"％"
"全産業","総数","完全失業者","15歳以上","1968-08",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1968-09",1,"％"
"全産業","総数","完全失業者","15歳以上","1968-10",0.9,"％"
"全産業","総数","完全失業者","15歳以上","1968-11",0.9,"％"
"全産業","総数","完全失業者","15歳以上","1968-12",1,"％"
"全産業","総数","完全失業者","15歳以上","1969-01",1.3,"％"
"全産業","総数","完全失業者","15歳以上","1969-02",1.4,"％"
"全産業","総数","完全失業者","15歳以上","1969-03",1.5,"％"
"全産業","総数","完全失業者","15歳以上","1969-04",1.2,"％"
"全産業","総数","完全失業者","15歳以上","1969-05",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1969-06",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1969-07",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1969-08",1,"％"
"全産業","総数","完全失業者","15歳以上","1969-09",1,"％"
"全産業","総数","完全失業者","15歳以上","1969-10",0.9,"％"
"全産業","総数","完全失業者","15歳以上","1969-11",0.9,"％"
"全産業","総数","完全失業者","15歳以上","1969-12",1,"％"
"全産業","総数","完全失業者","15歳以上","1970-01",1.3,"％"
"全産業","総数","完全失業者","15歳以上","1970-02",1.3,"％"
"全産業","総数","完全失業者","15歳以上","1970-03",1.3,"％"
"全産業","総数","完全失業者","15歳以上","1970-04",1.2,"％"
"全産業","総数","完全失業者","15歳以上","1970-05",1,"％"
"全産業","総数","完全失業者","15歳以上","1970-06",0.9,"％"
"全産業","総数","完全失業者","15歳以上","1970-07",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1970-08",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1970-09",1.2,"％"
"全産業","総数","完全失業者","15歳以上","1970-10",1.2,"％"
"全産業","総数","完全失業者","15歳以上","1970-11",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1970-12",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1971-01",1.3,"％"
"全産業","総数","完全失業者","15歳以上","1971-02",1.4,"％"
"全産業","総数","完全失業者","15歳以上","1971-03",1.5,"％"
"全産業","総数","完全失業者","15歳以上","1971-04",1.3,"％"
"全産業","総数","完全失業者","15歳以上","1971-05",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1971-06",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1971-07",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1971-08",1.2,"％"
"全産業","総数","完全失業者","15歳以上","1971-09",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1971-10",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1971-11",1.2,"％"
"全産業","総数","完全失業者","15歳以上","1971-12",1.3,"％"
"全産業","総数","完全失業者","15歳以上","1972-01",1.7,"％"
"全産業","総数","完全失業者","15歳以上","1972-02",1.7,"％"
"全産業","総数","完全失業者","15歳以上","1972-03",1.8,"％"
"全産業","総数","完全失業者","15歳以上","1972-04",1.5,"％"
"全産業","総数","完全失業者","15歳以上","1972-05",1.3,"％"
"全産業","総数","完全失業者","15歳以上","1972-06",1.2,"％"
"全産業","総数","完全失業者","15歳以上","1972-07",1.3,"％"
"全産業","総数","完全失業者","15歳以上","1972-08",1.3,"％"
"全産業","総数","完全失業者","15歳以上","1972-09",1.5,"％"
"全産業","総数","完全失業者","15歳以上","1972-10",1.2,"％"
"全産業","総数","完全失業者","15歳以上","1972-11",1.2,"％"
"全産業","総数","完全失業者","15歳以上","1972-12",1.3,"％"
"全産業","総数","完全失業者","15歳以上","1973-01",1.5,"％"
"全産業","総数","完全失業者","15歳以上","1973-02",1.5,"％"
"全産業","総数","完全失業者","15歳以上","1973-03",1.6,"％"
"全産業","総数","完全失業者","15歳以上","1973-04",1.4,"％"
"全産業","総数","完全失業者","15歳以上","1973-05",1.3,"％"
"全産業","総数","完全失業者","15歳以上","1973-06",1.3,"％"
"全産業","総数","完全失業者","15歳以上","1973-07",1.2,"％"
"全産業","総数","完全失業者","15歳以上","1973-08",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1973-09",1.2,"％"
"全産業","総数","完全失業者","15歳以上","1973-10",1,"％"
"全産業","総数","完全失業者","15歳以上","1973-11",1,"％"
"全産業","総数","完全失業者","15歳以上","1973-12",1.1,"％"
"全産業","総数","完全失業者","15歳以上","1974-01",1.4,"％"
