"industry","gender","condition","age","time_code","volume","ratio"
"全産業","総数","完全失業者","15歳以上","1968-01",720000,1.5
"全産業","総数","完全失業者","15歳以上","1968-02",750000,1.6
"全産業","総数","完全失業者","15歳以上","1968-03",830000,1.7
"全産業","総数","完全失業者","15歳以上","1968-04",640000,1.3
"全産業","総数","完全失業者","15歳以上","1968-05",540000,1
"全産業","総数","完全失業者","15歳以上","1968-06",520000,1
"全産業","総数","完全失業者","15歳以上","1968-07",600000,1.2
"全産業","総数","完全失業者","15歳以上","1968-08",590000,1.1
"全産業","総数","完全失業者","15歳以上","1968-09",530000,1
"全産業","総数","完全失業者","15歳以上","1968-10",470000,0.9
"全産業","総数","完全失業者","15歳以上","1968-11",450000,0.9
"全産業","総数","完全失業者","15歳以上","1968-12",480000,1
"全産業","総数","完全失業者","15歳以上","1969-01",640000,1.3
"全産業","総数","完全失業者","15歳以上","1969-02",690000,1.4
"全産業","総数","完全失業者","15歳以上","1969-03",750000,1.5
"全産業","総数","完全失業者","15歳以上","1969-04",600000,1.2
"全産業","総数","完全失業者","15歳以上","1969-05",580000,1.1
"全産業","総数","完全失業者","15歳以上","1969-06",590000,1.1
"全産業","総数","完全失業者","15歳以上","1969-07",580000,1.1
"全産業","総数","完全失業者","15歳以上","1969-08",540000,1
"全産業","総数","完全失業者","15歳以上","1969-09",530000,1
"全産業","総数","完全失業者","15歳以上","1969-10",480000,0.9
"全産業","総数","完全失業者","15歳以上","1969-11",450000,0.9
"全産業","総数","完全失業者","15歳以上","1969-12",480000,1
"全産業","総数","完全失業者","15歳以上","1970-01",630000,1.3
"全産業","総数","完全失業者","15歳以上","1970-02",660000,1.3
"全産業","総数","完全失業者","15歳以上","1970-03",670000,1.3
"全産業","総数","完全失業者","15歳以上","1970-04",640000,1.2
"全産業","総数","完全失業者","15歳以上","1970-05",530000,1
"全産業","総数","完全失業者","15歳以上","1970-06",500000,0.9
"全産業","総数","完全失業者","15歳以上","1970-07",570000,1.1
